City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Baker City,44.7749,-117.8344,38.59,87,33,12.82,US,1666544296
Tuatapere,-46.1333,167.6833,48.07,96,100,12.95,NZ,1666544296
Saint-Pierre,-21.3393,55.4781,73.08,78,20,2.3,RE,1666544297
Arraial do Cabo,-22.9661,-42.0278,76.96,73,40,12.66,BR,1666544297
Ushuaia,-54.8,-68.3,55.06,47,40,4.61,AR,1666544206
Cape Town,-33.9258,18.4232,72.01,74,0,24.16,ZA,1666544298
Pemberton,50.3164,-122.8027,31.69,50,17,1.19,CA,1666544299
Adrar,20.5022,-10.0711,95.4,10,0,11.01,MR,1666544299
Nuci,44.7167,26.3,65.95,53,2,5.14,RO,1666544300
Akdepe,42.0551,59.3788,53.69,49,74,8.88,TM,1666544300
Mataura,-46.1927,168.8643,50.65,96,100,7.45,NZ,1666544301
Beringovskiy,63.05,179.3167,22.59,80,88,10.8,RU,1666544301
Winnemucca,40.973,-117.7357,38.84,51,21,13.31,US,1666544012
Shurugwi,-19.6702,30.0059,73.65,42,56,10.96,ZW,1666544302
Butaritari,3.0707,172.7902,80.55,75,92,6.8,KI,1666544302
Seydi,39.4816,62.9137,59.05,34,100,7.99,TM,1666544303
Sinnamary,5.3833,-52.95,87.58,65,88,13.51,GF,1666544303
Rikitea,-23.1203,-134.9692,72.14,81,90,13.47,PF,1666544029
Mahébourg,-20.4081,57.7,73.69,78,75,8.05,MU,1666544304
Klaksvík,62.2266,-6.589,47.32,85,100,19.64,FO,1666544305
Lebu,-37.6167,-73.65,54.77,60,2,9.19,CL,1666544306
Lazi,48.0667,24.2333,47.64,97,91,1.97,UA,1666544306
Maués,-3.3836,-57.7186,94.64,39,87,2.3,BR,1666544307
Guerrero Negro,27.9769,-114.0611,72.52,54,97,10.85,MX,1666544307
Biloela,-24.4167,150.5,70.38,62,93,3.49,AU,1666544308
Iralaya,15.0,-83.2333,82.42,76,9,5.75,HN,1666544309
Sitka,57.0531,-135.33,40.71,87,100,15.26,US,1666544309
Kapaa,22.0752,-159.319,74.19,91,10,9.86,US,1666544309
Port Elizabeth,-33.918,25.5701,71.1,83,20,11.5,ZA,1666544018
Thayetmyo,19.3167,95.1833,75.34,93,99,4.27,MM,1666544310
Tuktoyaktuk,69.4541,-133.0374,10.4,92,75,9.22,CA,1666544311
Saskylakh,71.9167,114.0833,11.34,98,85,6.96,RU,1666544311
Busselton,-33.65,115.3333,55.26,90,97,8.37,AU,1666544312
Upernavik,72.7868,-56.1549,29.17,79,100,4.52,GL,1666544312
Khatanga,71.9667,102.5,11.97,91,84,11.74,RU,1666544313
Progreso,21.2833,-89.6667,82.11,46,0,7.63,MX,1666544313
Castro,-24.7911,-50.0119,75.49,51,5,7.25,BR,1666544313
Avarua,-21.2078,-159.775,77.05,94,75,8.05,CK,1666544314
Feira de Santana,-12.2667,-38.9667,89.02,43,91,15.57,BR,1666544097
Albany,42.6001,-73.9662,61.27,61,100,3.0,US,1666544190
Yarim,14.298,44.3779,57.43,44,1,1.12,YE,1666544315
Bluff,-46.6,168.3333,48.4,89,100,14.88,NZ,1666544315
Gerāsh,27.6652,54.1371,73.54,24,0,3.91,IR,1666544316
Songkhla,6.8333,100.6667,77.05,93,89,0.38,TH,1666544316
Arlit,18.7369,7.3853,88.18,11,51,9.01,NE,1666544111
Tiksi,71.6872,128.8694,21.69,81,99,13.47,RU,1666544317
Menomonie,44.8755,-91.9193,71.28,55,20,17.69,US,1666544317
Bengkulu,-3.8004,102.2655,76.71,90,100,3.62,ID,1666544318
Bredasdorp,-34.5322,20.0403,64.11,83,67,11.72,ZA,1666544318
Tura,25.5198,90.2201,69.78,87,98,4.0,IN,1666544319
George Town,5.4112,100.3354,84.13,74,20,5.99,MY,1666544264
Airai,-8.9266,125.4092,62.22,86,88,1.34,TL,1666544319
Sioux Lookout,50.1001,-91.917,51.87,76,40,6.91,CA,1666544320
Changji,44.0167,87.3167,54.39,50,0,4.47,CN,1666544321
Whitehorse,60.7161,-135.0538,32.77,94,100,3.44,CA,1666544321
Jamestown,42.097,-79.2353,69.06,31,0,4.61,US,1666544022
Namtsy,62.7161,129.6658,15.17,96,100,4.83,RU,1666544322
Carnarvon,-24.8667,113.6333,69.4,64,26,18.41,AU,1666544322
Arequipa,-16.3989,-71.535,66.27,13,0,9.22,PE,1666544036
Hobart,-42.8794,147.3294,51.66,73,100,9.22,AU,1666544323
Darnétal,49.4453,1.1514,67.44,79,71,10.36,FR,1666544323
Constitución,-35.3333,-72.4167,57.7,59,65,6.89,CL,1666544324
Faya,18.3851,42.4509,68.11,43,1,3.13,SA,1666544324
Chokurdakh,70.6333,147.9167,3.76,96,99,9.22,RU,1666544325
Arona,28.0996,-16.681,71.13,81,40,14.97,ES,1666544325
Marawi,7.9986,124.2928,69.75,91,100,1.68,PH,1666544326
Cherskiy,68.75,161.3,11.08,95,100,10.58,RU,1666544326
Somova,45.1833,28.6667,59.29,55,0,3.44,RO,1666544326
Torbay,47.6666,-52.7314,62.89,69,20,17.27,CA,1666544327
Cockburn Town,21.4612,-71.1419,82.22,68,98,10.83,TC,1666544036
Chapais,49.7834,-74.8492,60.58,60,22,7.52,CA,1666544327
Si Chiang Mai,17.9564,102.5867,78.1,76,9,0.29,TH,1666544328
Goderich,43.7501,-81.7165,69.91,52,96,8.05,CA,1666544316
Bāfq,31.6128,55.4107,74.44,16,0,4.43,IR,1666544329
Thompson,55.7435,-97.8558,32.16,80,75,12.66,CA,1666544329
Mount Gambier,-37.8333,140.7667,53.51,100,100,14.97,AU,1666544330
Zyryanka,65.75,150.85,-4.5,96,58,9.31,RU,1666544330
Kieta,-6.2167,155.6333,77.79,84,52,0.96,PG,1666544331
Hambantota,6.1241,81.1185,79.52,77,98,15.52,LK,1666544331
Puerto Ayora,-0.7393,-90.3518,73.36,86,86,4.0,EC,1666544331
Mirny,62.5353,113.9611,32.23,100,100,11.01,RU,1666544332
Lázaro Cárdenas,17.9583,-102.2,83.7,69,68,0.92,MX,1666544332
Hermanus,-34.4187,19.2345,68.81,80,12,17.2,ZA,1666544333
Faanui,-16.4833,-151.75,78.71,74,93,11.41,PF,1666544333
Bilma,18.6853,12.9164,87.06,19,7,6.02,NE,1666544333
Kaitangata,-46.2817,169.8464,52.66,86,100,14.34,NZ,1666544334
Roald,62.5833,6.1333,47.75,87,0,14.97,NO,1666544334
Sistranda,63.7256,8.834,35.56,70,53,17.43,NO,1666544335
Yellowknife,62.456,-114.3525,25.32,80,75,8.05,CA,1666544223
Mehamn,71.0357,27.8492,39.11,87,75,11.5,NO,1666544335
Ponta do Sol,32.6667,-17.1,74.71,62,99,4.9,PT,1666544336
Eureka,40.8021,-124.1637,53.2,79,0,1.99,US,1666544032
Lorengau,-2.0226,147.2712,80.87,67,73,3.87,PG,1666544336
Atuona,-9.8,-139.0333,75.33,80,17,15.55,PF,1666544337
Villena,38.6373,-0.8657,72.03,75,100,5.55,ES,1666544337
Krasnogorskoye,52.2953,86.1979,35.04,74,25,17.0,RU,1666544338
Olonets,60.9847,32.9698,41.52,83,100,8.34,RU,1666544338
San Pedro de Macorís,18.4616,-69.2972,87.93,68,42,5.75,DO,1666544339
Saint-Philippe,-21.3585,55.7679,72.99,83,44,10.02,RE,1666544339
Namatanai,-3.6667,152.4333,78.1,78,82,0.4,PG,1666544339
São João da Barra,-21.6403,-41.0511,80.69,72,94,11.61,BR,1666544340
Saint Paul Harbor,57.79,-152.4072,38.41,77,100,12.3,US,1666544340
Tual,-5.6667,132.75,83.37,72,95,4.76,ID,1666544341
Salina Cruz,16.1667,-95.2,86.23,54,31,4.45,MX,1666544341
Quelimane,-17.8786,36.8883,80.55,74,20,14.0,MZ,1666544342
Juneau,58.3019,-134.4197,40.21,100,100,7.81,US,1666544343
Mukhen,48.1,136.1,31.55,74,4,2.3,RU,1666544343
Salalah,17.0151,54.0924,79.07,68,2,2.26,OM,1666544098
Digby,44.6169,-65.7655,59.95,59,100,0.36,CA,1666544344
Savannah Bight,16.45,-85.85,80.64,74,0,3.33,HN,1666544345
Aykhal,66.0,111.5,27.45,97,100,7.05,RU,1666544345
Martapura,-3.4167,114.85,78.89,100,100,1.14,ID,1666544346
Barrow,71.2906,-156.7887,19.89,93,40,17.85,US,1666544346
Haines Junction,60.7522,-137.5108,31.95,69,100,8.05,CA,1666544347
Bethel,41.3712,-73.414,60.89,63,100,1.99,US,1666544347
New Norfolk,-42.7826,147.0587,51.3,78,98,3.0,AU,1666544348
Vrangel',42.7297,133.0839,40.44,67,75,10.13,RU,1666544349
Mahajanga,-15.7167,46.3167,78.82,78,20,10.36,MG,1666544349
Karasjok,69.4719,25.5112,34.29,84,57,30.87,NO,1666544349
Skjervøy,70.0311,20.9714,39.2,66,100,33.53,NO,1666544350
Provideniya,64.3833,-173.3,29.84,89,100,4.16,RU,1666544350
Guipavas,48.4352,-4.3972,59.16,88,100,27.63,FR,1666544351
Paita,-5.0892,-81.1144,69.3,69,100,14.23,PE,1666544351
Bilibino,68.0546,166.4372,-3.12,100,100,1.5,RU,1666544352
Ribeira Grande,38.5167,-28.7,68.4,64,40,13.8,PT,1666544352
Mar del Plata,-38.0023,-57.5575,61.95,78,20,20.0,AR,1666544353
Qaanaaq,77.484,-69.3632,22.6,96,100,1.14,GL,1666544353
Asmara,15.3333,38.9333,58.77,80,17,6.62,ER,1666544354
Baracoa,20.3467,-74.4958,83.61,73,100,7.05,CU,1666544354
Laredo,27.5064,-99.5075,80.89,61,0,17.27,US,1666544112
Henties Bay,-22.116,14.2845,59.79,88,83,11.23,NA,1666544355
Road Town,18.4167,-64.6167,86.04,74,20,5.75,VG,1666544355
Yumen,40.2833,97.2,48.56,26,0,6.82,CN,1666544356
Orchard Homes,46.8633,-114.0484,37.81,94,100,3.0,US,1666544356
Souillac,-20.5167,57.5167,73.78,78,75,8.05,MU,1666544357
Vaini,-21.2,-175.2,71.76,68,40,11.5,TO,1666544357
Doha,25.2867,51.5333,87.69,62,0,6.91,QA,1666544288
Valparaíso,-33.0393,-71.6273,59.47,100,100,3.44,CL,1666544075
Kavaratti,10.5669,72.642,81.84,74,98,1.1,IN,1666544358
Tessalit,20.1986,1.0114,86.22,12,98,12.19,ML,1666544358
Mareeba,-17.0,145.4333,76.48,93,19,2.17,AU,1666544359
Honiara,-9.4333,159.95,76.39,90,99,3.91,SB,1666544359
Portland,45.5234,-122.6762,50.63,90,75,5.75,US,1666543894
Yar-Sale,66.8333,70.8333,29.64,74,98,8.9,RU,1666544360
Phalaborwa,-23.943,31.1411,77.41,56,61,6.17,ZA,1666544361
Trincomalee,8.5711,81.2335,78.55,84,100,10.29,LK,1666544361
Saint-François,46.4154,3.9054,74.64,43,0,9.22,FR,1666544362
Leningradskiy,69.3833,178.4167,21.11,95,100,8.3,RU,1666544362
Tarko-Sale,64.9225,77.785,29.23,71,100,21.14,RU,1666544362
Port Hardy,50.6996,-127.4199,39.38,100,75,4.61,CA,1666544363
Talnakh,69.4865,88.3972,24.21,96,100,8.63,RU,1666544363
La Ronge,55.1001,-105.2842,37.62,87,100,6.91,CA,1666544364
Labuhan,-6.8844,112.2051,79.47,84,100,8.9,ID,1666544365
Nome,64.5011,-165.4064,37.47,93,100,9.22,US,1666544365
Geraldton,-28.7667,114.6,63.01,94,75,11.5,AU,1666544366
Baykit,61.67,96.37,28.35,82,100,15.64,RU,1666544366
Maceió,-9.6658,-35.7353,87.24,58,40,12.66,BR,1666544366
Hong Kong,22.2855,114.1577,78.85,75,96,8.99,HK,1666544295
Mahdasht,35.7299,50.8111,68.22,67,40,6.91,IR,1666544367
Lavrentiya,65.5833,-171.0,31.32,85,94,0.54,RU,1666544367
Rivadavia,-33.1905,-68.4608,77.23,25,0,9.73,AR,1666544368
Bahía Honda,22.9036,-83.1592,82.92,61,4,10.0,CU,1666544368
Karratha,-20.7377,116.8463,73.06,57,0,17.56,AU,1666544369
Toledo,39.8333,-4.0,66.31,72,67,13.58,ES,1666544369
Riyadh,24.6877,46.7219,84.34,14,0,5.66,SA,1666544288
